 ******* Program HYDRUS
 ******* Test example for Onestep outflow method                                
  
 Date:   1.10.    Time:  14:11:25
 Units: L = cm   , T = hours, M = mmol 



                             Node(  6)                      Node( 14)                      Node( 24)                      Node( 39)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          .001      -2.269   .3861     .000        -1.791   .3867     .000        -1.796   .3866     .000        -2.383   .3859     .000
          .002      -3.118   .3851     .000        -2.764   .3855     .000        -2.989   .3852     .000        -3.996   .3838     .000
          .003      -3.861   .3840     .000        -3.588   .3844     .000        -4.003   .3838     .000        -5.425   .3817     .000
          .004      -4.753   .3827     .000        -4.581   .3830     .000        -5.232   .3820     .000        -7.164   .3788     .000
          .006      -5.768   .3811     .000        -5.715   .3812     .000        -6.658   .3797     .000        -9.282   .3752     .000
          .008      -7.086   .3790     .000        -7.199   .3788     .000        -8.564   .3765     .000       -12.283   .3700     .000
          .011      -8.725   .3762     .000        -9.061   .3756     .000       -11.011   .3722     .000       -16.512   .3627     .000
          .014     -10.259   .3735     .000       -10.821   .3726     .000       -13.409   .3680     .000       -21.207   .3550     .000
          .017     -11.726   .3710     .000       -12.520   .3696     .000       -15.790   .3639     .000       -26.544   .3469     .000
          .021     -13.608   .3677     .000       -14.717   .3658     .000       -18.970   .3586     .000       -35.208   .3354     .000
          .025     -15.409   .3646     .000       -16.832   .3622     .000       -22.107   .3536     .000       -45.920   .3236     .000
          .028     -16.582   .3626     .000       -18.215   .3598     .000       -24.172   .3504     .000       -54.149   .3160     .000
          .029     -17.348   .3613     .000       -19.118   .3584     .000       -25.523   .3484     .000       -59.953   .3113     .000
          .031     -18.112   .3600     .000       -20.005   .3569     .000       -26.838   .3464     .000       -65.707   .3070     .000
          .033     -18.857   .3588     .000       -20.879   .3555     .000       -28.118   .3447     .000       -71.177   .3032     .000
          .034     -19.226   .3582     .000       -21.313   .3548     .000       -28.750   .3438     .000       -73.684   .3016     .000
          .035     -19.480   .3578     .000       -21.610   .3544     .000       -29.184   .3432     .000       -75.314   .3006     .000
          .035     -19.811   .3572     .000       -21.997   .3537     .000       -29.740   .3424     .000       -77.587   .2993     .000
          .036     -20.141   .3567     .000       -22.379   .3531     .000       -30.292   .3417     .000       -79.691   .2981     .000
          .037     -20.379   .3563     .000       -22.649   .3527     .000       -30.679   .3411     .000       -81.083   .2972     .000
          .037     -20.681   .3558     .000       -22.991   .3522     .000       -31.162   .3405     .000       -82.736   .2963     .000
