 ******* Program HYDRUS
 ******* Test example for Onestep outflow method                                
  
 Date:   1.10.    Time:  14:11:25
 Units: L = cm   , T = hours, M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E-02  .10000E-02    5     5    -1     1     T
     2  .20000E-02  .10000E-02    4     9    -1     1     T
     3  .30000E-02  .10000E-02    2    11    -1     1     T
     4  .42727E-02  .12727E-02    2    13    -1     1     T
     5  .58636E-02  .15909E-02    2    15    -1     1     T
     6  .80909E-02  .22273E-02    2    17    -1     1     T
     7  .11061E-01  .29697E-02    3    20    -1     1     T
     8  .14030E-01  .29697E-02    3    23    -1     1     T
     9  .17000E-01  .29697E-02    4    27    -1     1     T
    10  .21000E-01  .40000E-02    5    32    -1     1     T
    11  .25000E-01  .40000E-02    7    39    -1     1     T
    12  .27667E-01  .26667E-02    8    47    -1     1     T
    13  .29444E-01  .17778E-02    5    52    -1     1     T
    14  .31222E-01  .17778E-02    8    60    -1     1     T
    15  .33000E-01  .17778E-02    7    67    -1     1     T
    16  .33895E-01  .89474E-03    7    74    -1     1     T
    17  .34514E-01  .61943E-03    3    77    -1     1     T
    18  .35329E-01  .81504E-03    4    81    -1     1     T
    19  .36144E-01  .81504E-03   10    91    -1     1     T
    20  .36722E-01  .57732E-03    3    94    -1     1     T
    21  .37459E-01  .73769E-03    4    98    -1     1     T
    22  .38197E-01  .73769E-03    8   106    -1     1     T
    23  .38710E-01  .51318E-03    4   110    -1     1     T
    24  .39223E-01  .51318E-03    5   115    -1     1     T
    25  .39736E-01  .51318E-03    2   117    -1     1     T
    26  .40421E-01  .68423E-03    7   124    -1     1     T
    27  .40900E-01  .47896E-03    3   127    -1     1     T
    28  .41506E-01  .60669E-03    4   131    -1     1     T
    29  .42113E-01  .60669E-03    4   135    -1     1     T
    30  .42720E-01  .60669E-03    2   137    -1     1     T
    31  .43529E-01  .80892E-03    5   142    -1     1     T
    32  .44338E-01  .80892E-03    2   144    -1     1     T
    33  .45470E-01  .11325E-02    7   151    -1     1     T
    34  .46225E-01  .75499E-03    2   153    -1     1     T
    35  .47169E-01  .94374E-03    4   157    -1     1     T
    36  .48113E-01  .94374E-03    4   161    -1     1     T
    37  .49056E-01  .94374E-03    3   164    -1     1     T
    38  .50000E-01  .94374E-03    4   168    -1     1     T
    39  .50944E-01  .94355E-03    3   171    -1     1     T
    40  .52165E-01  .12216E-02    4   175    -1     1     T
    41  .53387E-01  .12216E-02    5   180    -1     1     T
    42  .54608E-01  .12216E-02    6   186    -1     1     T
    43  .55830E-01  .12216E-02    6   192    -1     1     T
    44  .57052E-01  .12216E-02    4   196    -1     1     T
    45  .58273E-01  .12216E-02    4   200    -1     1     T
    46  .59495E-01  .12216E-02    5   205    -1     1     T
    47  .60717E-01  .12216E-02    4   209    -1     1     T
    48  .61938E-01  .12216E-02    3   212    -1     1     T
    49  .63530E-01  .15918E-02    4   216    -1     1     T
    50  .65122E-01  .15918E-02    4   220    -1     1     T
    51  .66714E-01  .15918E-02    2   222    -1     1     T
    52  .68761E-01  .20467E-02    4   226    -1     1     T
    53  .70807E-01  .20467E-02    6   232    -1     1     T
    54  .72854E-01  .20467E-02    3   235    -1     1     T
    55  .75544E-01  .26899E-02    8   243    -1     1     T
    56  .77410E-01  .18665E-02    2   245    -1     1     T
    57  .79832E-01  .24213E-02    3   248    -1     1     T
    58  .83060E-01  .32285E-02    3   251    -1     1     T
    59  .87257E-01  .41970E-02    6   257    -1     1     T
    60  .91454E-01  .41970E-02    4   261    -1     1     T
    61  .95651E-01  .41970E-02    2   263    -1     1     T
    62  .10114E+00  .54884E-02    6   269    -1     1     T
    63  .10663E+00  .54884E-02    2   271    -1     1     T
    64  .11334E+00  .67080E-02    8   279    -1     1     T
    65  .11821E+00  .48786E-02    7   286    -1     1     T
    66  .12170E+00  .34847E-02    2   288    -1     1     T
    67  .12623E+00  .45301E-02    3   291    -1     1     T
    68  .13205E+00  .58244E-02    2   293    -1     1     T
    69  .13904E+00  .69893E-02    3   296    -1     1     T
    70  .14836E+00  .93191E-02    7   303    -1     1     T
    71  .15457E+00  .62127E-02    3   306    -1     1     T
    72  .16700E+00  .12425E-01    8   314    -1     1     T
    73  .17317E+00  .61667E-02    4   318    -1     1     T
    74  .17933E+00  .61667E-02    2   320    -1     1     T
    75  .18735E+00  .80167E-02    4   324    -1     1     T
    76  .19537E+00  .80167E-02    5   329    -1     1     T
    77  .20338E+00  .80167E-02    3   332    -1     1     T
    78  .21398E+00  .10593E-01    4   336    -1     1     T
    79  .22457E+00  .10593E-01    5   341    -1     1     T
    80  .23516E+00  .10593E-01    6   347    -1     1     T
    81  .24576E+00  .10593E-01    2   349    -1     1     T
    82  .25914E+00  .13381E-01    6   355    -1     1     T
    83  .27252E+00  .13381E-01    3   358    -1     1     T
    84  .29002E+00  .17498E-01    6   364    -1     1     T
    85  .30752E+00  .17498E-01    3   367    -1     1     T
    86  .33158E+00  .24060E-01    4   371    -1     1     T
    87  .35564E+00  .24060E-01    3   374    -1     1     T
    88  .38451E+00  .28873E-01    5   379    -1     1     T
    89  .41338E+00  .28873E-01    3   382    -1     1     T
    90  .45669E+00  .43309E-01    7   389    -1     1     T
    91  .47835E+00  .21654E-01    2   391    -1     1     T
    92  .50000E+00  .21654E-01    2   393    -1     1     T
    93  .53553E+00  .35533E-01    3   396    -1     1     T
    94  .58076E+00  .45224E-01    3   399    -1     1     T
    95  .63729E+00  .56530E-01    2   401    -1     1     T
    96  .71643E+00  .79142E-01    4   405    -1     1     T
    97  .79557E+00  .79142E-01    3   408    -1     1     T
    98  .91429E+00  .11871E+00    3   411    -1     1     T
    99  .10330E+01  .11871E+00    3   414    -1     1     T
   100  .11651E+01  .13208E+00    3   417    -1     1     T
   101  .13412E+01  .17610E+00    3   420    -1     1     T
   102  .15760E+01  .23480E+00    3   423    -1     1     T
   103  .18695E+01  .29350E+00    3   426    -1     1     T
   104  .23097E+01  .44026E+00    4   430    -1     1     T
   105  .27500E+01  .44026E+00    3   433    -1     1     T
   106  .32834E+01  .53340E+00    2   435    -1     1     T
   107  .39946E+01  .71120E+00    2   437    -1     1     T
   108  .47058E+01  .71120E+00    2   439    -1     1     T
   109  .54170E+01  .71120E+00    2   441    -1     1     T
   110  .65627E+01  .11458E+01    2   443    -1     1     T
   111  .82814E+01  .17186E+01    3   446    -1     1     T
   112  .10000E+02  .17186E+01    2   448    -1     1     T
   113  .11667E+02  .16667E+01    2   450    -1     1     T
   114  .15000E+02  .33333E+01    3   453    -1     1     T
   115  .18036E+02  .30357E+01    2   455    -1     1     T
   116  .21939E+02  .39031E+01    2   457    -1     1     T
   117  .27143E+02  .52041E+01    2   459    -1     1     T
   118  .33766E+02  .66234E+01    2   461    -1     1     T
   119  .42045E+02  .82792E+01    2   463    -1     1     T
   120  .53636E+02  .11591E+02    2   465    -1     1     T
   121  .69091E+02  .15455E+02    2   467    -1     1     T
   122  .84545E+02  .15455E+02    2   469    -1     1     T
   123  .10000E+03  .15455E+02    2   471    -1     1     T
end
 
 Real time [sec]  0.000000000000000E+000
